Array size,Bubble,Selection,Heap,Quick,Merge
1000,0.015555,0.000000,0.000000,0.000000,0.000000
2000,0.046899,0.015627,0.000000,0.000000,0.000000
3000,0.111708,0.031210,0.000000,0.000000,0.000000
4000,0.156210,0.046869,0.000000,0.000000,0.000000
5000,0.267863,0.078072,0.015660,0.015584,0.000000
6000,0.359287,0.109387,0.015608,0.000000,0.000000
7000,0.641368,0.138373,0.006572,0.010587,0.008456
8000,0.692602,0.171832,0.015620,0.000000,0.015654
9000,0.861753,0.219895,0.000000,0.000000,0.015655
10000,1.160903,0.296691,0.015622,0.015648,0.015627
11000,1.479494,0.328042,0.000000,0.015619,0.000000
12000,1.696714,0.394699,0.015173,0.017918,0.009931
13000,1.850706,0.469902,0.015629,0.015625,0.015622
14000,2.115166,0.533502,0.015607,0.015657,0.015655
15000,2.476569,0.610537,0.015650,0.015624,0.015621
16000,2.790410,0.689757,0.015660,0.015656,0.015659
17000,3.180998,0.777888,0.031280,0.031236,0.015617
18000,3.585874,0.877280,0.031236,0.015621,0.015621
19000,3.987195,0.964816,0.031244,0.031243,0.015651
20000,4.636816,1.076328,0.031243,0.031241,0.015620
21000,4.939922,1.202952,0.015621,0.015622,0.031285
22000,6.451338,1.318072,0.032445,0.031245,0.031244
23000,5.867240,1.423883,0.015593,0.031202,0.031241
24000,6.412406,1.551328,0.031245,0.031207,0.035520
25000,6.946839,1.676038,0.031242,0.031241,0.031292
26000,7.526799,1.832288,0.031210,0.031240,0.031242
27000,8.218342,1.975468,0.031239,0.046863,0.031242
28000,8.759194,2.113328,0.031242,0.046862,0.046863
29000,9.348623,2.285272,0.031238,0.046861,0.046862
30000,10.038805,2.418764,0.031243,0.046861,0.031239
31000,10.680962,2.600897,0.031241,0.046896,0.046864
32000,11.403649,2.758199,0.031276,0.046860,0.046864
33000,12.180603,2.945667,0.046833,0.046861,0.046862
34000,12.968508,3.116954,0.031241,0.062485,0.046861
35000,13.577887,3.304963,0.046864,0.062483,0.046860
36000,14.557022,3.505262,0.046863,0.062485,0.062484
37000,17.011456,3.699016,0.046860,0.063737,0.062484
38000,16.103460,3.901008,0.046883,0.062445,0.062482
39000,17.082161,4.127322,0.031289,0.053853,0.073777
40000,17.937916,4.325790,0.046863,0.063664,0.063636
41000,18.827238,4.521236,0.046865,0.062482,0.062528
42000,19.874413,4.767277,0.047995,0.062471,0.062483
43000,21.328560,4.998656,0.046864,0.079199,0.063570
44000,21.687290,5.224147,0.046864,0.078131,0.078072
45000,22.663401,5.470508,0.062479,0.078106,0.078103
46000,23.683723,5.711087,0.046865,0.078105,0.078105
47000,24.776785,5.969492,0.062484,0.093727,0.078105
48000,25.912205,6.239100,0.062449,0.093726,0.078147
49000,27.059368,6.524687,0.061109,0.093729,0.090748
50000,28.368313,6.803410,0.062486,0.078108,0.093727
51000,29.519150,7.065029,0.062482,0.093727,0.094879
52000,30.480896,7.342083,0.062482,0.093765,0.093692
53000,31.712702,7.567852,0.062484,0.093732,0.093728
54000,32.823860,7.882936,0.062520,0.093727,0.110579
55000,33.942112,8.146470,0.078102,0.093727,0.109348
56000,35.193569,8.456637,0.062485,0.110507,0.125008
57000,36.480709,8.809413,0.063626,0.109314,0.124972
58000,38.140903,9.099246,0.063656,0.111565,0.124926
59000,39.246929,9.401634,0.062451,0.110546,0.124969
60000,40.460876,9.749012,0.079282,0.126244,0.125013
61000,41.865067,10.067078,0.078110,0.124970,0.141810
62000,44.262161,10.408077,0.078109,0.109350,0.140625
63000,44.662071,10.727489,0.085460,0.124969,0.142050
64000,46.084698,11.099520,0.078141,0.124934,0.157397
65000,47.836304,11.462103,0.078147,0.141699,0.142900
66000,49.171272,11.752520,0.078106,0.124969,0.157349
67000,50.519009,12.123385,0.095017,0.125004,0.156216
68000,52.138870,12.501652,0.093688,0.126154,0.157488
69000,53.720825,12.865654,0.093766,0.140591,0.171869
70000,55.414089,13.240223,0.078149,0.157389,0.171834
71000,57.177933,13.637186,0.078141,0.141668,0.188636
72000,58.509888,14.046866,0.093757,0.156249,0.189696
73000,60.039371,14.408562,0.093728,0.157346,0.187509
74000,61.664062,14.788623,0.093723,0.140593,0.187454
75000,63.459515,15.202241,0.093691,0.157515,0.187420
76000,66.298882,15.655233,0.093726,0.157348,0.203112
77000,66.990372,16.031050,0.093733,0.156213,0.203033
78000,68.522064,16.441427,0.110592,0.156215,0.218733
79000,70.515800,16.916388,0.094879,0.172934,0.220809
80000,72.272797,17.420956,0.106857,0.189725,0.218695
81000,74.037430,17.743610,0.109350,0.175146,0.218663
82000,75.857208,18.203976,0.094947,0.187521,0.234319
83000,77.851791,18.651493,0.111533,0.188668,0.234388
84000,79.739983,19.423500,0.109375,0.187454,0.249942
85000,82.263191,19.767414,0.109387,0.203951,0.257332
86000,99.805618,20.084450,0.109391,0.187455,0.266865
87000,85.549751,20.511024,0.109338,0.188617,0.249943
88000,87.541687,20.950005,0.109350,0.204278,0.249940
89000,89.473434,21.374504,0.109349,0.188712,0.265562
90000,91.462219,21.916052,0.109350,0.203076,0.266661
91000,94.199425,22.621662,0.124970,0.220010,0.283743
92000,96.643303,23.076569,0.110635,0.203113,0.282383
93000,98.769104,24.213356,0.124970,0.219932,0.296796
94000,100.837517,24.000214,0.109349,0.218734,0.297922
95000,102.464813,24.368694,0.124968,0.218663,0.297986
96000,104.393936,24.862764,0.110490,0.218662,0.297996
97000,106.854538,25.484341,0.124973,0.235490,0.312430
98000,108.721802,25.920156,0.126117,0.234318,0.328050
99000,110.808144,26.446939,0.125005,0.236613,0.328008
100000,114.056320,27.187740,0.125004,0.252056,0.3291480.000000
